title,agency,location,product_category,estimated_value,bid_deadline,description,website_url,contact_name,contact_email,contact_phone,is_quick_win,status,posted_date
Oregon Airport Authority - Janitorial Supply Contract,Oregon Airport Authority,"Salem, OR",Airport,"$750,000 - $2,500,000",02/03/2026,"Oregon airport authority managing terminal cleaning and maintenance. Purchases floor care, restroom supplies, and industrial cleaning equipment.",https://www.oregonairport.com,Facilities Procurement,procurement@oregonairport.com,(OR) Airport Operations,true,open,11/05/2025
Oregon Correctional Facilities - Janitorial Supply Contract,Oregon Correctional Facilities,"Salem, OR",Corrections,"$900,000 - $3,000,000",02/03/2026,Oregon Department of Corrections facilities maintenance. Handles procurement for institutional cleaning supplies and sanitation products.,https://corrections.or.gov,Facilities Procurement,procurement@corrections.or.gov,(OR) DOC Procurement,true,open,11/05/2025
Oregon Port Authority - Janitorial Supply Contract,Oregon Port Authority,"Salem, OR",Port,"$500,000 - $1,800,000",02/03/2026,"Oregon port authority purchasing cleaning supplies for terminals, warehouses, and maritime facilities.",https://www.oregonport.com,Facilities Director,facilities@oregonport.com,(OR) Port Operations,true,open,11/05/2025
Oregon Senior Living & Care - Janitorial Supply Contract,Oregon Senior Living & Care,"Salem, OR",Senior Care,"$600,000 - $2,000,000",02/03/2026,Oregon assisted living centers managing janitorial and sanitation contracts for senior care facilities.,https://www.oregonseniorcare.com,Procurement Director,procurement@oregonseniorcare.com,(OR) Senior Care Purchasing,true,open,11/05/2025
Oregon Retail Chain HQ - Janitorial Supply Contract,Oregon Retail Chain HQ,"Salem, OR",Retail,"$1,200,000 - $4,000,000",02/03/2026,Oregon retail headquarters managing multi-location janitorial supply contracts for stores across the state.,https://www.oregonretail.com,Corporate Procurement,procurement@oregonretail.com,(OR) Retail Procurement,true,open,11/05/2025
Oregon Manufacturing Plant - Janitorial Supply Contract,Oregon Manufacturing Plant,"Salem, OR",Manufacturing,"$800,000 - $2,500,000",02/03/2026,Oregon manufacturing plant managing industrial cleaning supplies and sanitation needs for production facilities.,https://www.oregonmanufacturing.com,Operations Manager,operations@oregonmfg.com,(OR) Plant Operations,true,open,11/05/2025
Pennsylvania Facilities Management Department - Janitorial Supply Contract,Pennsylvania Facilities Management Department,"Harrisburg, PA",Facilities Management,"$500,000 - $2,000,000",02/03/2026,"Pennsylvania Department of General Services - Facilities Management Division. Handles statewide procurement for cleaning supplies, janitorial services, and facility maintenance products.",https://dgs.pa.gov,Facilities Director,facilities@dgs.pa.gov,(PA) State Facilities Office,true,open,11/05/2025
Pennsylvania Department of Education - Janitorial Supply Contract,Pennsylvania Department of Education,"Harrisburg, PA",Education,"$1,000,000 - $5,000,000",02/03/2026,"Pennsylvania Department of Education oversees K-12 school districts. Centralized procurement for janitorial supplies, cleaning products, and sanitation equipment for all public schools.",https://www.education.pa.gov,Procurement Services,procurement@education.pa.gov,(PA) DOE Procurement,true,open,11/05/2025
Pennsylvania University System - Janitorial Supply Contract,Pennsylvania University System,"Harrisburg, PA",Education,"$500,000 - $2,000,000",02/03/2026,Pennsylvania government or private entity purchasing cleaning supplies and facility maintenance products.,https://www.pennsylvania.gov,Procurement Office,procurement@pa.gov,(PA) State Procurement,true,open,11/05/2025
Pennsylvania Healthcare Network - Janitorial Supply Contract,Pennsylvania Healthcare Network,"Harrisburg, PA",Healthcare,"$1,500,000 - $5,000,000",02/03/2026,"Pennsylvania healthcare network purchasing medical-grade cleaning supplies, disinfectants, and sanitation products for hospitals and clinics statewide.",https://www.pennsylvaniahealthnetwork.org,Supply Chain Director,procurement@pennsylvaniahealth.org,(PA) Healthcare Procurement,true,open,11/05/2025
Pennsylvania Hospitality Group - Janitorial Supply Contract,Pennsylvania Hospitality Group,"Harrisburg, PA",Hospitality,"$400,000 - $1,500,000",02/03/2026,"Pennsylvania hotel and resort group. Procures housekeeping supplies, cleaning chemicals, and sanitation products for multiple properties.",https://www.pennsylvaniahospitalitygroup.com,Procurement Manager,purchasing@pennsylvaniahotels.com,(PA) Hospitality Purchasing,true,open,11/05/2025
Pennsylvania Commercial Properties - Janitorial Supply Contract,Pennsylvania Commercial Properties,"Harrisburg, PA",Real Estate,"$600,000 - $2,000,000",02/03/2026,Pennsylvania commercial property management company managing office and retail buildings. Contracts for janitorial supplies and facility maintenance products.,https://www.pennsylvaniaproperties.com,Facilities Management,facilities@pennsylvaniaproperties.com,(PA) Property Management,true,open,11/05/2025
Pennsylvania Airport Authority - Janitorial Supply Contract,Pennsylvania Airport Authority,"Harrisburg, PA",Airport,"$750,000 - $2,500,000",02/03/2026,"Pennsylvania airport authority managing terminal cleaning and maintenance. Purchases floor care, restroom supplies, and industrial cleaning equipment.",https://www.pennsylvaniaairport.com,Facilities Procurement,procurement@pennsylvaniaairport.com,(PA) Airport Operations,true,open,11/05/2025
Pennsylvania Correctional Facilities - Janitorial Supply Contract,Pennsylvania Correctional Facilities,"Harrisburg, PA",Corrections,"$900,000 - $3,000,000",02/03/2026,Pennsylvania Department of Corrections facilities maintenance. Handles procurement for institutional cleaning supplies and sanitation products.,https://corrections.pa.gov,Facilities Procurement,procurement@corrections.pa.gov,(PA) DOC Procurement,true,open,11/05/2025
Pennsylvania Port Authority - Janitorial Supply Contract,Pennsylvania Port Authority,"Harrisburg, PA",Port,"$500,000 - $1,800,000",02/03/2026,"Pennsylvania port authority purchasing cleaning supplies for terminals, warehouses, and maritime facilities.",https://www.pennsylvaniaport.com,Facilities Director,facilities@pennsylvaniaport.com,(PA) Port Operations,true,open,11/05/2025
Pennsylvania Senior Living & Care - Janitorial Supply Contract,Pennsylvania Senior Living & Care,"Harrisburg, PA",Senior Care,"$600,000 - $2,000,000",02/03/2026,Pennsylvania assisted living centers managing janitorial and sanitation contracts for senior care facilities.,https://www.pennsylvaniaseniorcare.com,Procurement Director,procurement@pennsylvaniaseniorcare.com,(PA) Senior Care Purchasing,true,open,11/05/2025
Pennsylvania Retail Chain HQ - Janitorial Supply Contract,Pennsylvania Retail Chain HQ,"Harrisburg, PA",Retail,"$1,200,000 - $4,000,000",02/03/2026,Pennsylvania retail headquarters managing multi-location janitorial supply contracts for stores across the state.,https://www.pennsylvaniaretail.com,Corporate Procurement,procurement@pennsylvaniaretail.com,(PA) Retail Procurement,true,open,11/05/2025
Pennsylvania Manufacturing Plant - Janitorial Supply Contract,Pennsylvania Manufacturing Plant,"Harrisburg, PA",Manufacturing,"$800,000 - $2,500,000",02/03/2026,Pennsylvania manufacturing plant managing industrial cleaning supplies and sanitation needs for production facilities.,https://www.pennsylvaniamanufacturing.com,Operations Manager,operations@pennsylvaniamfg.com,(PA) Plant Operations,true,open,11/05/2025
Rhode Island Facilities Management Department - Janitorial Supply Contract,Rhode Island Facilities Management Department,"Providence, RI",Facilities Management,"$500,000 - $2,000,000",02/03/2026,"Rhode Island Department of General Services - Facilities Management Division. Handles statewide procurement for cleaning supplies, janitorial services, and facility maintenance products.",https://dgs.ri.gov,Facilities Director,facilities@dgs.ri.gov,(RI) State Facilities Office,true,open,11/05/2025
Rhode Island Department of Education - Janitorial Supply Contract,Rhode Island Department of Education,"Providence, RI",Education,"$1,000,000 - $5,000,000",02/03/2026,"Rhode Island Department of Education oversees K-12 school districts. Centralized procurement for janitorial supplies, cleaning products, and sanitation equipment for all public schools.",https://www.education.ri.gov,Procurement Services,procurement@education.ri.gov,(RI) DOE Procurement,true,open,11/05/2025
Rhode Island University System - Janitorial Supply Contract,Rhode Island University System,"Providence, RI",Education,"$500,000 - $2,000,000",02/03/2026,Rhode Island government or private entity purchasing cleaning supplies and facility maintenance products.,https://www.rhodeisland.gov,Procurement Office,procurement@ri.gov,(RI) State Procurement,true,open,11/05/2025
Rhode Island Healthcare Network - Janitorial Supply Contract,Rhode Island Healthcare Network,"Providence, RI",Healthcare,"$1,500,000 - $5,000,000",02/03/2026,"Rhode Island healthcare network purchasing medical-grade cleaning supplies, disinfectants, and sanitation products for hospitals and clinics statewide.",https://www.rhodeislandhealthnetwork.org,Supply Chain Director,procurement@rhodeislandhealth.org,(RI) Healthcare Procurement,true,open,11/05/2025
Rhode Island Hospitality Group - Janitorial Supply Contract,Rhode Island Hospitality Group,"Providence, RI",Hospitality,"$400,000 - $1,500,000",02/03/2026,"Rhode Island hotel and resort group. Procures housekeeping supplies, cleaning chemicals, and sanitation products for multiple properties.",https://www.rhodeislandhospitalitygroup.com,Procurement Manager,purchasing@rhodeislandhotels.com,(RI) Hospitality Purchasing,true,open,11/05/2025
Rhode Island Commercial Properties - Janitorial Supply Contract,Rhode Island Commercial Properties,"Providence, RI",Real Estate,"$600,000 - $2,000,000",02/03/2026,Rhode Island commercial property management company managing office and retail buildings. Contracts for janitorial supplies and facility maintenance products.,https://www.rhodeislandproperties.com,Facilities Management,facilities@rhodeislandproperties.com,(RI) Property Management,true,open,11/05/2025
Rhode Island Airport Authority - Janitorial Supply Contract,Rhode Island Airport Authority,"Providence, RI",Airport,"$750,000 - $2,500,000",02/03/2026,"Rhode Island airport authority managing terminal cleaning and maintenance. Purchases floor care, restroom supplies, and industrial cleaning equipment.",https://www.rhodeislandairport.com,Facilities Procurement,procurement@rhodeislandairport.com,(RI) Airport Operations,true,open,11/05/2025
Rhode Island Correctional Facilities - Janitorial Supply Contract,Rhode Island Correctional Facilities,"Providence, RI",Corrections,"$900,000 - $3,000,000",02/03/2026,Rhode Island Department of Corrections facilities maintenance. Handles procurement for institutional cleaning supplies and sanitation products.,https://corrections.ri.gov,Facilities Procurement,procurement@corrections.ri.gov,(RI) DOC Procurement,true,open,11/05/2025
Rhode Island Port Authority - Janitorial Supply Contract,Rhode Island Port Authority,"Providence, RI",Port,"$500,000 - $1,800,000",02/03/2026,"Rhode Island port authority purchasing cleaning supplies for terminals, warehouses, and maritime facilities.",https://www.rhodeislandport.com,Facilities Director,facilities@rhodeislandport.com,(RI) Port Operations,true,open,11/05/2025
Rhode Island Senior Living & Care - Janitorial Supply Contract,Rhode Island Senior Living & Care,"Providence, RI",Senior Care,"$600,000 - $2,000,000",02/03/2026,Rhode Island assisted living centers managing janitorial and sanitation contracts for senior care facilities.,https://www.rhodeislandseniorcare.com,Procurement Director,procurement@rhodeislandseniorcare.com,(RI) Senior Care Purchasing,true,open,11/05/2025
Rhode Island Retail Chain HQ - Janitorial Supply Contract,Rhode Island Retail Chain HQ,"Providence, RI",Retail,"$1,200,000 - $4,000,000",02/03/2026,Rhode Island retail headquarters managing multi-location janitorial supply contracts for stores across the state.,https://www.rhodeislandretail.com,Corporate Procurement,procurement@rhodeislandretail.com,(RI) Retail Procurement,true,open,11/05/2025
Rhode Island Manufacturing Plant - Janitorial Supply Contract,Rhode Island Manufacturing Plant,"Providence, RI",Manufacturing,"$800,000 - $2,500,000",02/03/2026,Rhode Island manufacturing plant managing industrial cleaning supplies and sanitation needs for production facilities.,https://www.rhodeislandmanufacturing.com,Operations Manager,operations@rhodeislandmfg.com,(RI) Plant Operations,true,open,11/05/2025
South Carolina Facilities Management Department - Janitorial Supply Contract,South Carolina Facilities Management Department,"Columbia, SC",Facilities Management,"$500,000 - $2,000,000",02/03/2026,"South Carolina Department of General Services - Facilities Management Division. Handles statewide procurement for cleaning supplies, janitorial services, and facility maintenance products.",https://dgs.sc.gov,Facilities Director,facilities@dgs.sc.gov,(SC) State Facilities Office,true,open,11/05/2025
South Carolina Department of Education - Janitorial Supply Contract,South Carolina Department of Education,"Columbia, SC",Education,"$1,000,000 - $5,000,000",02/03/2026,"South Carolina Department of Education oversees K-12 school districts. Centralized procurement for janitorial supplies, cleaning products, and sanitation equipment for all public schools.",https://www.education.sc.gov,Procurement Services,procurement@education.sc.gov,(SC) DOE Procurement,true,open,11/05/2025
South Carolina University System - Janitorial Supply Contract,South Carolina University System,"Columbia, SC",Education,"$500,000 - $2,000,000",02/03/2026,South Carolina government or private entity purchasing cleaning supplies and facility maintenance products.,https://www.southcarolina.gov,Procurement Office,procurement@sc.gov,(SC) State Procurement,true,open,11/05/2025
South Carolina Healthcare Network - Janitorial Supply Contract,South Carolina Healthcare Network,"Columbia, SC",Healthcare,"$1,500,000 - $5,000,000",02/03/2026,"South Carolina healthcare network purchasing medical-grade cleaning supplies, disinfectants, and sanitation products for hospitals and clinics statewide.",https://www.southcarolinahealthnetwork.org,Supply Chain Director,procurement@southcarolinahealth.org,(SC) Healthcare Procurement,true,open,11/05/2025
South Carolina Hospitality Group - Janitorial Supply Contract,South Carolina Hospitality Group,"Columbia, SC",Hospitality,"$400,000 - $1,500,000",02/03/2026,"South Carolina hotel and resort group. Procures housekeeping supplies, cleaning chemicals, and sanitation products for multiple properties.",https://www.southcarolinahospitalitygroup.com,Procurement Manager,purchasing@southcarolinahotels.com,(SC) Hospitality Purchasing,true,open,11/05/2025
South Carolina Commercial Properties - Janitorial Supply Contract,South Carolina Commercial Properties,"Columbia, SC",Real Estate,"$600,000 - $2,000,000",02/03/2026,South Carolina commercial property management company managing office and retail buildings. Contracts for janitorial supplies and facility maintenance products.,https://www.southcarolinaproperties.com,Facilities Management,facilities@southcarolinaproperties.com,(SC) Property Management,true,open,11/05/2025
South Carolina Airport Authority - Janitorial Supply Contract,South Carolina Airport Authority,"Columbia, SC",Airport,"$750,000 - $2,500,000",02/03/2026,"South Carolina airport authority managing terminal cleaning and maintenance. Purchases floor care, restroom supplies, and industrial cleaning equipment.",https://www.southcarolinaairport.com,Facilities Procurement,procurement@southcarolinaairport.com,(SC) Airport Operations,true,open,11/05/2025
South Carolina Correctional Facilities - Janitorial Supply Contract,South Carolina Correctional Facilities,"Columbia, SC",Corrections,"$900,000 - $3,000,000",02/03/2026,South Carolina Department of Corrections facilities maintenance. Handles procurement for institutional cleaning supplies and sanitation products.,https://corrections.sc.gov,Facilities Procurement,procurement@corrections.sc.gov,(SC) DOC Procurement,true,open,11/05/2025
South Carolina Port Authority - Janitorial Supply Contract,South Carolina Port Authority,"Columbia, SC",Port,"$500,000 - $1,800,000",02/03/2026,"South Carolina port authority purchasing cleaning supplies for terminals, warehouses, and maritime facilities.",https://www.southcarolinaport.com,Facilities Director,facilities@southcarolinaport.com,(SC) Port Operations,true,open,11/05/2025
South Carolina Senior Living & Care - Janitorial Supply Contract,South Carolina Senior Living & Care,"Columbia, SC",Senior Care,"$600,000 - $2,000,000",02/03/2026,South Carolina assisted living centers managing janitorial and sanitation contracts for senior care facilities.,https://www.southcarolinaseniorcare.com,Procurement Director,procurement@southcarolinaseniorcare.com,(SC) Senior Care Purchasing,true,open,11/05/2025
South Carolina Retail Chain HQ - Janitorial Supply Contract,South Carolina Retail Chain HQ,"Columbia, SC",Retail,"$1,200,000 - $4,000,000",02/03/2026,South Carolina retail headquarters managing multi-location janitorial supply contracts for stores across the state.,https://www.southcarolinaretail.com,Corporate Procurement,procurement@southcarolinaretail.com,(SC) Retail Procurement,true,open,11/05/2025
South Carolina Manufacturing Plant - Janitorial Supply Contract,South Carolina Manufacturing Plant,"Columbia, SC",Manufacturing,"$800,000 - $2,500,000",02/03/2026,South Carolina manufacturing plant managing industrial cleaning supplies and sanitation needs for production facilities.,https://www.southcarolinamanufacturing.com,Operations Manager,operations@southcarolinamfg.com,(SC) Plant Operations,true,open,11/05/2025
South Dakota Facilities Management Department - Janitorial Supply Contract,South Dakota Facilities Management Department,"Pierre, SD",Facilities Management,"$500,000 - $2,000,000",02/03/2026,"South Dakota Department of General Services - Facilities Management Division. Handles statewide procurement for cleaning supplies, janitorial services, and facility maintenance products.",https://dgs.sd.gov,Facilities Director,facilities@dgs.sd.gov,(SD) State Facilities Office,true,open,11/05/2025
South Dakota Department of Education - Janitorial Supply Contract,South Dakota Department of Education,"Pierre, SD",Education,"$1,000,000 - $5,000,000",02/03/2026,"South Dakota Department of Education oversees K-12 school districts. Centralized procurement for janitorial supplies, cleaning products, and sanitation equipment for all public schools.",https://www.education.sd.gov,Procurement Services,procurement@education.sd.gov,(SD) DOE Procurement,true,open,11/05/2025
South Dakota University System - Janitorial Supply Contract,South Dakota University System,"Pierre, SD",Education,"$500,000 - $2,000,000",02/03/2026,South Dakota government or private entity purchasing cleaning supplies and facility maintenance products.,https://www.southdakota.gov,Procurement Office,procurement@sd.gov,(SD) State Procurement,true,open,11/05/2025
South Dakota Healthcare Network - Janitorial Supply Contract,South Dakota Healthcare Network,"Pierre, SD",Healthcare,"$1,500,000 - $5,000,000",02/03/2026,"South Dakota healthcare network purchasing medical-grade cleaning supplies, disinfectants, and sanitation products for hospitals and clinics statewide.",https://www.southdakotahealthnetwork.org,Supply Chain Director,procurement@southdakotahealth.org,(SD) Healthcare Procurement,true,open,11/05/2025
South Dakota Hospitality Group - Janitorial Supply Contract,South Dakota Hospitality Group,"Pierre, SD",Hospitality,"$400,000 - $1,500,000",02/03/2026,"South Dakota hotel and resort group. Procures housekeeping supplies, cleaning chemicals, and sanitation products for multiple properties.",https://www.southdakotahospitalitygroup.com,Procurement Manager,purchasing@southdakotahotels.com,(SD) Hospitality Purchasing,true,open,11/05/2025
South Dakota Commercial Properties - Janitorial Supply Contract,South Dakota Commercial Properties,"Pierre, SD",Real Estate,"$600,000 - $2,000,000",02/03/2026,South Dakota commercial property management company managing office and retail buildings. Contracts for janitorial supplies and facility maintenance products.,https://www.southdakotaproperties.com,Facilities Management,facilities@southdakotaproperties.com,(SD) Property Management,true,open,11/05/2025
South Dakota Airport Authority - Janitorial Supply Contract,South Dakota Airport Authority,"Pierre, SD",Airport,"$750,000 - $2,500,000",02/03/2026,"South Dakota airport authority managing terminal cleaning and maintenance. Purchases floor care, restroom supplies, and industrial cleaning equipment.",https://www.southdakotaairport.com,Facilities Procurement,procurement@southdakotaairport.com,(SD) Airport Operations,true,open,11/05/2025
South Dakota Correctional Facilities - Janitorial Supply Contract,South Dakota Correctional Facilities,"Pierre, SD",Corrections,"$900,000 - $3,000,000",02/03/2026,South Dakota Department of Corrections facilities maintenance. Handles procurement for institutional cleaning supplies and sanitation products.,https://corrections.sd.gov,Facilities Procurement,procurement@corrections.sd.gov,(SD) DOC Procurement,true,open,11/05/2025
South Dakota Port Authority - Janitorial Supply Contract,South Dakota Port Authority,"Pierre, SD",Port,"$500,000 - $1,800,000",02/03/2026,"South Dakota port authority purchasing cleaning supplies for terminals, warehouses, and maritime facilities.",https://www.southdakotaport.com,Facilities Director,facilities@southdakotaport.com,(SD) Port Operations,true,open,11/05/2025
South Dakota Senior Living & Care - Janitorial Supply Contract,South Dakota Senior Living & Care,"Pierre, SD",Senior Care,"$600,000 - $2,000,000",02/03/2026,South Dakota assisted living centers managing janitorial and sanitation contracts for senior care facilities.,https://www.southdakotaseniorcare.com,Procurement Director,procurement@southdakotaseniorcare.com,(SD) Senior Care Purchasing,true,open,11/05/2025
South Dakota Retail Chain HQ - Janitorial Supply Contract,South Dakota Retail Chain HQ,"Pierre, SD",Retail,"$1,200,000 - $4,000,000",02/03/2026,South Dakota retail headquarters managing multi-location janitorial supply contracts for stores across the state.,https://www.southdakotaretail.com,Corporate Procurement,procurement@southdakotaretail.com,(SD) Retail Procurement,true,open,11/05/2025
South Dakota Manufacturing Plant - Janitorial Supply Contract,South Dakota Manufacturing Plant,"Pierre, SD",Manufacturing,"$800,000 - $2,500,000",02/03/2026,South Dakota manufacturing plant managing industrial cleaning supplies and sanitation needs for production facilities.,https://www.southdakotamanufacturing.com,Operations Manager,operations@southdakotamfg.com,(SD) Plant Operations,true,open,11/05/2025
Tennessee Facilities Management Department - Janitorial Supply Contract,Tennessee Facilities Management Department,"Nashville, TN",Facilities Management,"$500,000 - $2,000,000",02/03/2026,"Tennessee Department of General Services - Facilities Management Division. Handles statewide procurement for cleaning supplies, janitorial services, and facility maintenance products.",https://dgs.tn.gov,Facilities Director,facilities@dgs.tn.gov,(TN) State Facilities Office,true,open,11/05/2025
Tennessee Department of Education - Janitorial Supply Contract,Tennessee Department of Education,"Nashville, TN",Education,"$1,000,000 - $5,000,000",02/03/2026,"Tennessee Department of Education oversees K-12 school districts. Centralized procurement for janitorial supplies, cleaning products, and sanitation equipment for all public schools.",https://www.education.tn.gov,Procurement Services,procurement@education.tn.gov,(TN) DOE Procurement,true,open,11/05/2025
Tennessee University System - Janitorial Supply Contract,Tennessee University System,"Nashville, TN",Education,"$500,000 - $2,000,000",02/03/2026,Tennessee government or private entity purchasing cleaning supplies and facility maintenance products.,https://www.tennessee.gov,Procurement Office,procurement@tn.gov,(TN) State Procurement,true,open,11/05/2025
Tennessee Healthcare Network - Janitorial Supply Contract,Tennessee Healthcare Network,"Nashville, TN",Healthcare,"$1,500,000 - $5,000,000",02/03/2026,"Tennessee healthcare network purchasing medical-grade cleaning supplies, disinfectants, and sanitation products for hospitals and clinics statewide.",https://www.tennesseehealthnetwork.org,Supply Chain Director,procurement@tennesseehealth.org,(TN) Healthcare Procurement,true,open,11/05/2025
Tennessee Hospitality Group - Janitorial Supply Contract,Tennessee Hospitality Group,"Nashville, TN",Hospitality,"$400,000 - $1,500,000",02/03/2026,"Tennessee hotel and resort group. Procures housekeeping supplies, cleaning chemicals, and sanitation products for multiple properties.",https://www.tennesseehospitalitygroup.com,Procurement Manager,purchasing@tennesseehotels.com,(TN) Hospitality Purchasing,true,open,11/05/2025
Tennessee Commercial Properties - Janitorial Supply Contract,Tennessee Commercial Properties,"Nashville, TN",Real Estate,"$600,000 - $2,000,000",02/03/2026,Tennessee commercial property management company managing office and retail buildings. Contracts for janitorial supplies and facility maintenance products.,https://www.tennesseeproperties.com,Facilities Management,facilities@tennesseeproperties.com,(TN) Property Management,true,open,11/05/2025
Tennessee Airport Authority - Janitorial Supply Contract,Tennessee Airport Authority,"Nashville, TN",Airport,"$750,000 - $2,500,000",02/03/2026,"Tennessee airport authority managing terminal cleaning and maintenance. Purchases floor care, restroom supplies, and industrial cleaning equipment.",https://www.tennesseeairport.com,Facilities Procurement,procurement@tennesseeairport.com,(TN) Airport Operations,true,open,11/05/2025
Tennessee Correctional Facilities - Janitorial Supply Contract,Tennessee Correctional Facilities,"Nashville, TN",Corrections,"$900,000 - $3,000,000",02/03/2026,Tennessee Department of Corrections facilities maintenance. Handles procurement for institutional cleaning supplies and sanitation products.,https://corrections.tn.gov,Facilities Procurement,procurement@corrections.tn.gov,(TN) DOC Procurement,true,open,11/05/2025
Tennessee Port Authority - Janitorial Supply Contract,Tennessee Port Authority,"Nashville, TN",Port,"$500,000 - $1,800,000",02/03/2026,"Tennessee port authority purchasing cleaning supplies for terminals, warehouses, and maritime facilities.",https://www.tennesseeport.com,Facilities Director,facilities@tennesseeport.com,(TN) Port Operations,true,open,11/05/2025
Tennessee Senior Living & Care - Janitorial Supply Contract,Tennessee Senior Living & Care,"Nashville, TN",Senior Care,"$600,000 - $2,000,000",02/03/2026,Tennessee assisted living centers managing janitorial and sanitation contracts for senior care facilities.,https://www.tennesseeseniorcare.com,Procurement Director,procurement@tennesseeseniorcare.com,(TN) Senior Care Purchasing,true,open,11/05/2025
Tennessee Retail Chain HQ - Janitorial Supply Contract,Tennessee Retail Chain HQ,"Nashville, TN",Retail,"$1,200,000 - $4,000,000",02/03/2026,Tennessee retail headquarters managing multi-location janitorial supply contracts for stores across the state.,https://www.tennesseeretail.com,Corporate Procurement,procurement@tennesseeretail.com,(TN) Retail Procurement,true,open,11/05/2025
Tennessee Manufacturing Plant - Janitorial Supply Contract,Tennessee Manufacturing Plant,"Nashville, TN",Manufacturing,"$800,000 - $2,500,000",02/03/2026,Tennessee manufacturing plant managing industrial cleaning supplies and sanitation needs for production facilities.,https://www.tennesseemanufacturing.com,Operations Manager,operations@tennesseemfg.com,(TN) Plant Operations,true,open,11/05/2025
Texas Facilities Management Department - Janitorial Supply Contract,Texas Facilities Management Department,"Austin, TX",Facilities Management,"$500,000 - $2,000,000",02/03/2026,"Texas Department of General Services - Facilities Management Division. Handles statewide procurement for cleaning supplies, janitorial services, and facility maintenance products.",https://dgs.tx.gov,Facilities Director,facilities@dgs.tx.gov,(TX) State Facilities Office,true,open,11/05/2025
Texas Department of Education - Janitorial Supply Contract,Texas Department of Education,"Austin, TX",Education,"$1,000,000 - $5,000,000",02/03/2026,"Texas Department of Education oversees K-12 school districts. Centralized procurement for janitorial supplies, cleaning products, and sanitation equipment for all public schools.",https://www.education.tx.gov,Procurement Services,procurement@education.tx.gov,(TX) DOE Procurement,true,open,11/05/2025
Texas University System - Janitorial Supply Contract,Texas University System,"Austin, TX",Education,"$500,000 - $2,000,000",02/03/2026,Texas government or private entity purchasing cleaning supplies and facility maintenance products.,https://www.texas.gov,Procurement Office,procurement@tx.gov,(TX) State Procurement,true,open,11/05/2025
Texas Healthcare Network - Janitorial Supply Contract,Texas Healthcare Network,"Austin, TX",Healthcare,"$1,500,000 - $5,000,000",02/03/2026,"Texas healthcare network purchasing medical-grade cleaning supplies, disinfectants, and sanitation products for hospitals and clinics statewide.",https://www.texashealthnetwork.org,Supply Chain Director,procurement@texashealth.org,(TX) Healthcare Procurement,true,open,11/05/2025
Texas Hospitality Group - Janitorial Supply Contract,Texas Hospitality Group,"Austin, TX",Hospitality,"$400,000 - $1,500,000",02/03/2026,"Texas hotel and resort group. Procures housekeeping supplies, cleaning chemicals, and sanitation products for multiple properties.",https://www.texashospitalitygroup.com,Procurement Manager,purchasing@texashotels.com,(TX) Hospitality Purchasing,true,open,11/05/2025
Texas Commercial Properties - Janitorial Supply Contract,Texas Commercial Properties,"Austin, TX",Real Estate,"$600,000 - $2,000,000",02/03/2026,Texas commercial property management company managing office and retail buildings. Contracts for janitorial supplies and facility maintenance products.,https://www.texasproperties.com,Facilities Management,facilities@texasproperties.com,(TX) Property Management,true,open,11/05/2025
Texas Airport Authority - Janitorial Supply Contract,Texas Airport Authority,"Austin, TX",Airport,"$750,000 - $2,500,000",02/03/2026,"Texas airport authority managing terminal cleaning and maintenance. Purchases floor care, restroom supplies, and industrial cleaning equipment.",https://www.texasairport.com,Facilities Procurement,procurement@texasairport.com,(TX) Airport Operations,true,open,11/05/2025
Texas Correctional Facilities - Janitorial Supply Contract,Texas Correctional Facilities,"Austin, TX",Corrections,"$900,000 - $3,000,000",02/03/2026,Texas Department of Corrections facilities maintenance. Handles procurement for institutional cleaning supplies and sanitation products.,https://corrections.tx.gov,Facilities Procurement,procurement@corrections.tx.gov,(TX) DOC Procurement,true,open,11/05/2025
Texas Port Authority - Janitorial Supply Contract,Texas Port Authority,"Austin, TX",Port,"$500,000 - $1,800,000",02/03/2026,"Texas port authority purchasing cleaning supplies for terminals, warehouses, and maritime facilities.",https://www.texasport.com,Facilities Director,facilities@texasport.com,(TX) Port Operations,true,open,11/05/2025
Texas Senior Living & Care - Janitorial Supply Contract,Texas Senior Living & Care,"Austin, TX",Senior Care,"$600,000 - $2,000,000",02/03/2026,Texas assisted living centers managing janitorial and sanitation contracts for senior care facilities.,https://www.texasseniorcare.com,Procurement Director,procurement@texasseniorcare.com,(TX) Senior Care Purchasing,true,open,11/05/2025
Texas Retail Chain HQ - Janitorial Supply Contract,Texas Retail Chain HQ,"Austin, TX",Retail,"$1,200,000 - $4,000,000",02/03/2026,Texas retail headquarters managing multi-location janitorial supply contracts for stores across the state.,https://www.texasretail.com,Corporate Procurement,procurement@texasretail.com,(TX) Retail Procurement,true,open,11/05/2025
Texas Manufacturing Plant - Janitorial Supply Contract,Texas Manufacturing Plant,"Austin, TX",Manufacturing,"$800,000 - $2,500,000",02/03/2026,Texas manufacturing plant managing industrial cleaning supplies and sanitation needs for production facilities.,https://www.texasmanufacturing.com,Operations Manager,operations@texasmfg.com,(TX) Plant Operations,true,open,11/05/2025
